PID,Stage,Start,End,Rating
4,Post-intervention,83:25:00,84:25:00,Not drowsy
4,Post-intervention,84:25:00,85:25:00,Not drowsy
4,Post-intervention,85:25:00,86:25:00,Not drowsy
4,Post-intervention,86:25:00,87:25:00,Not drowsy
4,Post-intervention,87:25:00,88:25:00,Not drowsy
4,Post-intervention,88:25:00,89:25:00,Not drowsy
4,Post-intervention,89:25:00,90:25:00,Not drowsy
4,Post-intervention,90:25:00,91:25:00,Not drowsy
5,Pre-intervention,58:51:00,59:51:00,Slightly drowsy
5,Pre-intervention,59:51:00,60:51:00,Slightly drowsy
5,Pre-intervention,60:51:00,61:51:00,Slightly drowsy
5,Pre-intervention,61:51:00,62:51:00,Slightly drowsy
5,Pre-intervention,62:51:00,63:51:00,Slightly drowsy
5,Pre-intervention,63:51:00,64:51:00,Slightly drowsy
5,Pre-intervention,64:51:00,65:51:00,Slightly drowsy
5,Pre-intervention,65:51:00,66:51:00,Slightly drowsy
5,Pre-intervention,66:51:00,67:51:00,Slightly drowsy
5,Pre-intervention,67:51:00,68:51:00,Slightly drowsy
5,Intervention (Automation),68:51:00,69:51:00,Not drowsy
5,Intervention (Automation),69:51:00,70:51:00,Slightly drowsy
5,Intervention (Automation),70:51:00,71:51:00,Slightly drowsy
5,Intervention (Automation),71:51:00,72:51:00,Slightly drowsy
5,Intervention (Automation),72:51:00,73:51:00,Slightly drowsy
5,Intervention (Automation),73:51:00,74:51:00,Moderately drowsy
5,Intervention (Automation),74:51:00,75:51:00,Moderately drowsy
5,Intervention (Automation),75:51:00,76:51:00,Slightly drowsy
5,Intervention (Automation),76:51:00,77:51:00,Moderately drowsy
5,Intervention (Automation),77:51:00,78:51:00,Moderately drowsy
5,Intervention (Automation),78:51:00,79:51:00,Very drowsy
5,Post-intervention,79:51:00,80:51:00,Not drowsy
5,Post-intervention,80:51:00,81:51:00,Slightly drowsy
5,Post-intervention,81:51:00,82:51:00,Slightly drowsy
5,Post-intervention,82:51:00,83:51:00,Slightly drowsy
5,Post-intervention,83:51:00,84:51:00,Slightly drowsy
5,Post-intervention,84:51:00,85:51:00,Slightly drowsy
5,Post-intervention,85:51:00,86:51:00,Slightly drowsy
5,Post-intervention,86:51:00,87:51:00,Slightly drowsy
5,Post-intervention,87:51:00,88:51:00,Not drowsy
5,Post-intervention,88:51:00,89:51:00,Not drowsy
5,Post-intervention,89:51:00,90:51:00,Not drowsy
6,Pre-intervention,60:12:00,61:12:00,Slightly drowsy
6,Pre-intervention,61:12:00,62:12:00,Slightly drowsy
6,Pre-intervention,62:12:00,63:12:00,Moderately drowsy
6,Pre-intervention,63:12:00,64:12:00,Slightly drowsy
6,Pre-intervention,64:12:00,65:12:00,Slightly drowsy
6,Pre-intervention,65:12:00,66:12:00,Slightly drowsy
6,Pre-intervention,66:12:00,67:12:00,Slightly drowsy
6,Pre-intervention,67:12:00,68:12:00,Slightly drowsy
6,Pre-intervention,68:12:00,69:12:00,Slightly drowsy
6,Pre-intervention,69:12:00,70:12:00,Slightly drowsy
6,Intervention (1 back test),70:12:00,71:12:00,Not drowsy
6,Intervention (1 back test),71:12:00,72:12:00,Not drowsy
6,Intervention (1 back test),72:12:00,73:12:00,Not drowsy
6,Intervention (1 back test),73:12:00,74:12:00,Not drowsy
6,Intervention (1 back test),74:12:00,75:12:00,Not drowsy
6,Intervention (1 back test),75:12:00,76:12:00,Slightly drowsy
6,Post-intervention,76:12:00,77:12:00,Slightly drowsy
6,Intervention (2 back test),77:12:00,78:12:00,Not drowsy
6,Intervention (2 back test),78:12:00,79:12:00,Not drowsy
6,Intervention (2 back test),79:12:00,80:12:00,Not drowsy
6,Post-intervention,80:12:00,81:12:00,Not drowsy
6,Post-intervention,81:12:00,82:12:00,Slightly drowsy
6,Post-intervention,82:12:00,83:12:00,Slightly drowsy
6,Post-intervention,83:12:00,84:12:00,Slightly drowsy
6,Post-intervention,84:12:00,85:12:00,Slightly drowsy
6,Post-intervention,85:12:00,86:12:00,Slightly drowsy
6,Post-intervention,86:12:00,87:12:00,Slightly drowsy
6,Post-intervention,87:12:00,88:12:00,Slightly drowsy
6,Post-intervention,88:12:00,89:12:00,Slightly drowsy
6,Post-intervention,89:12:00,90:12:00,Slightly drowsy
6,Post-intervention,90:12:00,91:12:00,Slightly drowsy
7,Pre-intervention,60:02:00,61:02:00,Not drowsy
7,Pre-intervention,61:02:00,62:02:00,Slightly drowsy
7,Pre-intervention,62:02:00,63:02:00,Slightly drowsy
7,Pre-intervention,63:02:00,64:02:00,Not drowsy
7,Pre-intervention,64:02:00,65:02:00,Slightly drowsy
7,Pre-intervention,65:02:00,66:02:00,Not drowsy
7,Pre-intervention,66:02:00,67:02:00,Slightly drowsy
7,Pre-intervention,67:02:00,68:02:00,Not drowsy
7,Pre-intervention,68:02:00,69:02:00,Slightly drowsy
7,Pre-intervention,69:02:00,70:02:00,Not drowsy
7,Intervention (2 back test),70:02:00,71:02:00,Not drowsy
7,Intervention (2 back test),71:02:00,72:02:00,Not drowsy
7,Intervention (2 back test),72:02:00,73:02:00,Not drowsy
7,Intervention (2 back test),73:02:00,74:02:00,Not drowsy
7,Intervention (2 back test),74:02:00,75:02:00,Not drowsy
7,Post-intervention,75:02:00,76:02:00,Not drowsy
7,Intervention (1 back test),76:02:00,77:02:00,Not drowsy
7,Intervention (1 back test),77:02:00,78:02:00,Not drowsy
7,Intervention (1 back test),78:02:00,79:02:00,Not drowsy
7,Intervention (1 back test),79:02:00,80:02:00,Not drowsy
7,Post-intervention,80:02:00,81:02:00,Slightly drowsy
7,Post-intervention,81:02:00,82:02:00,Not drowsy
7,Post-intervention,82:02:00,83:02:00,Not drowsy
7,Post-intervention,83:02:00,84:02:00,Not drowsy
7,Post-intervention,84:02:00,85:02:00,Not drowsy
7,Post-intervention,85:02:00,86:02:00,Not drowsy
7,Post-intervention,86:02:00,87:02:00,Not drowsy
7,Post-intervention,87:02:00,88:02:00,Not drowsy
7,Post-intervention,88:02:00,89:02:00,Slightly drowsy
7,Post-intervention,89:02:00,90:02:00,Slightly drowsy
7,Post-intervention,90:02:00,91:02:00,Not drowsy
9,,00:02:38,00:03:38,Not drowsy
9,,00:03:38,00:04:38,Not drowsy
9,,00:04:38,00:05:38,Not drowsy
9,,00:05:38,00:06:38,Not drowsy
9,,00:06:38,00:07:38,Not drowsy
9,,00:07:38,00:08:38,Not drowsy
9,,00:08:38,00:09:38,Not drowsy
9,,00:09:38,00:10:38,Not drowsy
9,,00:10:38,00:11:38,Not drowsy
9,,00:11:38,00:12:38,Not drowsy
9,,00:12:38,00:13:38,Not drowsy
9,,00:13:38,00:14:38,Not drowsy
9,,00:14:38,00:15:38,Not drowsy
9,,00:15:38,00:16:38,Not drowsy
9,,00:16:38,00:17:38,Not drowsy
9,,00:17:38,00:18:38,Not drowsy
9,,00:18:38,00:19:38,Not drowsy
9,,00:19:38,00:20:38,Not drowsy
9,,00:20:38,00:21:38,Not drowsy
9,,00:21:38,00:22:38,Not drowsy
9,,00:22:38,00:23:38,Not drowsy
9,,00:23:38,00:24:38,Not drowsy
9,,00:24:38,00:25:38,Not drowsy
9,,00:25:38,00:26:38,Slightly drowsy
9,,00:26:38,00:27:38,Slightly drowsy
9,,00:27:38,00:28:38,Slightly drowsy
9,,00:28:38,00:29:38,Slightly drowsy
9,,00:29:38,00:30:38,Slightly drowsy
9,,00:30:38,00:31:38,Slightly drowsy
9,,00:31:38,00:32:38,Slightly drowsy
9,,00:32:38,00:33:38,Slightly drowsy
9,,00:33:38,00:34:38,Slightly drowsy
9,,00:34:38,00:35:38,Moderately drowsy
9,Pre-intervention,35:38:00,36:38:00,Very drowsy
9,Pre-intervention,36:38:00,37:38:00,Moderately Drowsy
9,Pre-intervention,37:38:00,38:38:00,Very drowsy
9,Pre-intervention,38:38:00,39:38:00,Very drowsy
9,Pre-intervention,39:38:00,40:38:00,Very drowsy
9,Pre-intervention,40:38:00,41:38:00,Moderately drowsy
9,Pre-intervention,41:38:00,42:38:00,Very drowsy
9,Pre-intervention,42:38:00,43:38:00,Very drowsy
9,Pre-intervention,43:38:00,44:38:00,Very drowsy
9,Pre-intervention,44:38:00,45:38:00,Very drowsy
9,Intervention (n-back),45:38:00,46:38:00,Not drowsy
9,Intervention (2-back),46:38:00,47:38:00,Slightly drowsy
9,Intervention (2-back),47:38:00,48:38:00,Not drowsy
9,Intervention (2-back),48:38:00,49:38:00,Not drowsy
9,Intervention (2-back),49:38:00,50:38:00,Not drowsy
9,Intervention (2-back),50:38:00,51:38:00,Not drowsy
9,Intervention (1-back),51:38:00,52:38:00,Not drowsy
9,Intervention (1-back),52:38:00,53:38:00,Slightly drowsy
9,Intervention (1-back),53:38:00,54:38:00,Slightly drowsy
9,Intervention (1-back),54:38:00,55:38:00,Slightly drowsy
9,Post-intervention,55:38:00,56:38:00,Moderately Drowsy
9,Post-intervention,56:38:00,57:38:00,Slightly drowsy
9,Post-intervention,57:38:00,58:38:00,Slightly drowsy
9,Post-intervention,58:38:00,59:38:00,Moderately Drowsy
9,Post-intervention,59:38:00,60:38:00,Moderately drowsy
9,Post-intervention,60:38:00,61:38:00,Slightly drowsy
9,Post-intervention,61:38:00,62:38:00,Moderately drowsy
9,Post-intervention,62:38:00,63:38:00,Very drowsy
9,Post-intervention,63:38:00,64:38:00,Very drowsy
9,Post-intervention,64:38:00,65:38:00,Very drowsy
9,Post-intervention,65:38:00,66:38:00,Very drowsy
9,,00:00:38,00:01:38,Not drowsy
9,,00:01:38,00:02:38,Not drowsy
12,,00:02:29,00:03:29,Not drowsy
12,,00:03:29,00:04:29,Not drowsy
12,,00:04:29,00:05:29,Not drowsy
12,,00:05:29,00:06:29,Not drowsy
12,,00:06:29,00:07:29,Not drowsy
12,,00:07:29,00:08:29,Not drowsy
12,,00:08:29,00:09:29,Not drowsy
12,,00:09:29,00:10:29,Not drowsy
12,,00:10:29,00:11:29,Not drowsy
12,,00:11:29,00:12:29,Not drowsy
12,,00:12:29,00:13:29,Not drowsy
12,,00:13:29,00:14:29,Not drowsy
12,,00:14:29,00:15:29,Not drowsy
12,,00:15:29,00:16:29,Not drowsy
12,,00:16:29,00:17:29,Slightly drowsy
12,,00:17:29,00:18:29,Slightly drowsy
12,,00:18:29,00:19:29,Slightly drowsy
12,,00:19:29,00:20:29,Not drowsy
12,,00:20:29,00:21:29,Slightly drowsy
12,,00:21:29,00:22:29,Slightly drowsy
12,,00:22:29,00:23:29,Slightly drowsy
12,,00:23:29,00:24:29,Slightly drowsy
12,,00:24:29,00:25:29,Slightly drowsy
12,,00:25:29,00:26:29,Slightly drowsy
12,,00:26:29,00:27:29,Slightly drowsy
12,,00:27:29,00:28:29,Slightly drowsy
12,,00:28:29,00:29:29,Slightly drowsy
12,,00:29:29,00:30:29,Slightly drowsy
12,,00:30:29,00:31:29,Slightly drowsy
12,Pre-intervention,31:29:00,32:29:00,Slightly drowsy
12,Pre-intervention,32:29:00,33:29:00,Slightly drowsy
12,Pre-intervention,33:29:00,34:29:00,Slightly drowsy
12,Pre-intervention,34:29:00,35:29:00,She talked (don't include)
12,Pre-intervention,35:29:00,36:29:00,Slightly drowsy
12,Pre-intervention,36:29:00,37:29:00,Moderately drowsy
12,Pre-intervention,37:29:00,38:29:00,Slightly drowsy
12,Pre-intervention,38:29:00,39:29:00,Slightly drowsy
12,Pre-intervention,39:29:00,40:29:00,Slightly drowsy
12,Pre-intervention,40:29:00,41:29:00,Slightly drowsy
12,Intervention (2 back test),41:29:00,42:29:00,Not drowsy
12,Intervention (2 back test),42:29:00,43:29:00,Not drowsy
12,Intervention (2 back test),43:29:00,44:29:00,Not drowsy
12,Intervention (2 back test),44:29:00,45:29:00,Not drowsy
12,Intervention (2 back test),45:29:00,46:29:00,Not drowsy
12,Intervention (2 back test),46:29:00,47:29:00,Not drowsy
12,Intervention (1 back test),47:29:00,48:29:00,Slightly drowsy
12,Intervention (1 back test),48:29:00,49:29:00,Slightly drowsy
12,Intervention (1 back test),49:29:00,50:29:00,Slightly drowsy
12,Intervention (1 back test),50:29:00,51:29:00,Slightly drowsy
12,Post-intervention,51:29:00,52:29:00,Moderately Drowsy
12,Post-intervention,52:29:00,53:29:00,Slightly drowsy
12,Post-intervention,53:29:00,54:29:00,Slightly drowsy
12,Post-intervention,54:29:00,55:29:00,Slightly drowsy
12,Post-intervention,55:29:00,56:29:00,Slightly drowsy
12,Post-intervention,56:29:00,57:29:00,Slightly drowsy
12,Post-intervention,57:29:00,58:29:00,Moderately drowsy
12,Post-intervention,58:29:00,59:29:00,Very drowsy
12,Post-intervention,59:29:00,60:29:00,Slightly drowsy
12,Post-intervention,60:29:00,61:29:00,Moderately drowsy
12,Post-intervention,61:29:00,62:29:00,Slightly drowsy
12,,00:00:29,00:01:29,Not drowsy
12,,00:01:29,00:02:29,Not drowsy
13,Pre-intervention,60:06:00,61:06:00,Slightly drowsy
13,Pre-intervention,61:06:00,62:06:00,Slightly drowsy
13,Pre-intervention,62:06:00,63:06:00,Slightly drowsy
13,Pre-intervention,63:06:00,64:06:00,Slightly drowsy
13,Pre-intervention,64:06:00,65:06:00,Not drowsy
13,Pre-intervention,65:06:00,66:06:00,Slightly drowsy
13,Pre-intervention,66:06:00,67:06:00,Slightly drowsy
13,Pre-intervention,67:06:00,68:06:00,Not drowsy
13,Pre-intervention,68:06:00,69:06:00,Not drowsy
13,Pre-intervention,69:06:00,70:06:00,Not drowsy
13,Intervention (1 back test),70:06:00,71:06:00,Not drowsy
13,Intervention (1 back test),71:06:00,72:06:00,Not drowsy
13,Intervention (1 back test),72:06:00,73:06:00,Not drowsy
13,Intervention (1 back test),73:06:00,74:06:00,Not drowsy
13,Intervention (1 back test),74:06:00,75:06:00,Not drowsy
13,Intervention (1 back test),75:06:00,76:06:00,Not drowsy
13,Intervention (2 back test),76:06:00,77:06:00,Not drowsy
13,Intervention (2 back test),77:06:00,78:06:00,Not drowsy
13,Intervention (2 back test),78:06:00,79:06:00,Not drowsy
13,Intervention (2 back test),79:06:00,80:06:00,Not drowsy
13,Post-intervention,80:06:00,81:06:00,Not drowsy
13,Post-intervention,81:06:00,82:06:00,Slightly drowsy
13,Post-intervention,82:06:00,83:06:00,Not drowsy
13,Post-intervention,83:06:00,84:06:00,Not drowsy
13,Post-intervention,84:06:00,85:06:00,Not drowsy
13,Post-intervention,85:06:00,86:06:00,Slightly drowsy
13,Post-intervention,86:06:00,87:06:00,Slightly drowsy
13,Post-intervention,87:06:00,88:06:00,Not drowsy
13,Post-intervention,88:06:00,89:06:00,Not drowsy
13,Post-intervention,89:06:00,90:06:00,Slightly drowsy
13,Post-intervention,90:06:00,91:06:00,Not drowsy
15,Pre-intervention,32:52:00,33:52:00,Slightly drowsy
15,Pre-intervention,33:52:00,34:52:00,Slightly drowsy
15,Pre-intervention,34:52:00,35:52:00,Slightly drowsy
15,Pre-intervention,35:52:00,36:52:00,Slightly drowsy
15,Pre-intervention,36:52:00,37:52:00,Slightly drowsy
15,Pre-intervention,37:52:00,38:52:00,Moderately Drowsy
15,Pre-intervention,38:52:00,39:52:00,Slightly drowsy
15,Pre-intervention,39:52:00,40:52:00,Slightly drowsy
15,Pre-intervention,40:52:00,41:52:00,Moderately drowsy
15,Pre-intervention,41:52:00,42:52:00,Moderately Drowsy
15,Intervention (n-back),42:52:00,43:52:00,Not drowsy
15,Intervention (1-back),43:52:00,44:52:00,Slightly drowsy
15,Intervention (1-back),44:52:00,45:52:00,Slightly drowsy
15,Intervention (1-back),45:52:00,46:52:00,Slightly drowsy
15,Intervention (1-back),46:52:00,47:52:00,Not drowsy
15,Post-intervention (1-back),47:52:00,48:52:00,Slightly drowsy
15,Intervention (2-back),48:52:00,49:52:00,Slightly drowsy
15,Intervention (2-back),49:52:00,50:52:00,Not drowsy
15,Intervention (2-back),50:52:00,51:52:00,Not drowsy
15,Intervention (2-back),51:52:00,52:52:00,Not drowsy
15,Post-intervention,52:52:00,53:52:00,Not drowsy
15,Post-intervention,53:52:00,54:52:00,Slightly drowsy
15,Post-intervention,54:52:00,55:52:00,Slightly drowsy
15,Post-intervention,55:52:00,56:52:00,Slightly drowsy
15,Post-intervention,56:52:00,57:52:00,Slightly drowsy
15,Post-intervention,57:52:00,58:52:00,Slightly drowsy
15,Post-intervention,58:52:00,59:52:00,Slightly drowsy
15,Post-intervention,59:52:00,60:52:00,Slightly drowsy
15,Post-intervention,60:52:00,61:52:00,Slightly drowsy
15,Post-intervention,61:52:00,62:52:00,Slightly drowsy
15,Pre-intervention,62:52:00,63:52:00,Slightly drowsy
17,Pre-intervention,30:48:00,31:48:00,Moderately Drowsy
17,Pre-intervention,31:48:00,32:48:00,Slightly drowsy
17,Pre-intervention,32:48:00,33:48:00,Slightly drowsy
17,Pre-intervention,33:48:00,34:48:00,Slightly drowsy
17,Pre-intervention,34:48:00,35:48:00,Slightly drowsy
17,Pre-intervention,35:48:00,36:48:00,Slightly drowsy
17,Pre-intervention,36:48:00,37:48:00,Slightly drowsy
17,Pre-intervention,37:48:00,38:48:00,Slightly drowsy
17,Pre-intervention,38:48:00,39:48:00,Moderately drowsy
17,Pre-intervention,39:48:00,40:48:00,Not drowsy
17,Intervention (n-back),40:48:00,41:48:00,Not drowsy
17,Intervention (2-back),41:48:00,42:48:00,Not drowsy
17,Intervention (2-back),42:48:00,43:48:00,Not drowsy
17,Intervention (2-back),43:48:00,44:48:00,Not drowsy
17,Intervention (2-back),44:48:00,45:48:00,Not drowsy
17,Post-intervention (2-back),45:48:00,46:48:00,Not drowsy
17,Intervention (1-back),46:48:00,47:48:00,Slightly drowsy
17,Intervention (1-back),47:48:00,48:48:00,Not drowsy
17,Intervention (1-back),48:48:00,49:48:00,Slightly drowsy
17,Intervention (1-back),49:48:00,50:48:00,Not drowsy
17,Post-intervention,50:48:00,51:48:00,Slightly drowsy
17,Post-intervention,51:48:00,52:48:00,Slightly drowsy
17,Post-intervention,52:48:00,53:48:00,Moderately drowsy
17,Post-intervention,53:48:00,54:48:00,Moderately Drowsy
17,Post-intervention,54:48:00,55:48:00,Slightly drowsy
17,Post-intervention,55:48:00,56:48:00,Slightly drowsy
17,Post-intervention,56:48:00,57:48:00,Not drowsy
17,Post-intervention,57:48:00,58:48:00,Slightly drowsy
17,Post-intervention,58:48:00,59:48:00,Slightly drowsy
17,Post-intervention,59:48:00,60:48:00,Moderately drowsy
17,Post-intervention,60:48:00,61:48:00,Moderately Drowsy
18,Pre-intervention,60:15:00,61:15:00,Slightly drowsy
18,Pre-intervention,61:15:00,62:15:00,Slightly drowsy
18,Pre-intervention,62:15:00,63:15:00,Not drowsy
18,Pre-intervention,63:15:00,64:15:00,Not drowsy
18,Pre-intervention,64:15:00,65:15:00,Not drowsy
18,Pre-intervention,65:15:00,66:15:00,Not drowsy
18,Pre-intervention,66:15:00,67:15:00,Slightly drowsy
18,Pre-intervention,67:15:00,68:15:00,Not drowsy
18,Pre-intervention,68:15:00,69:15:00,Slightly drowsy
18,Pre-intervention,69:15:00,70:15:00,Slightly drowsy
18,Intervention (Combination),70:15:00,71:15:00,Not drowsy
18,Intervention (Combination 1-back),71:15:00,72:15:00,Not drowsy
18,Intervention (Combination 1-back),72:15:00,73:15:00,Slightly drowsy
18,Intervention (Combination 1-back),73:15:00,74:15:00,Slightly drowsy
18,Intervention (Combination 1-back),74:15:00,75:15:00,Slightly drowsy
18,Intervention (Automation),75:15:00,76:15:00,Not drowsy
18,Intervention (Combination 2-back),76:15:00,77:15:00,Not drowsy
18,Intervention (Combination 2-back),77:15:00,78:15:00,Not drowsy
18,Intervention (Combination 2-back),78:15:00,79:15:00,Slightly drowsy
18,Intervention (Combination 2-back),79:15:00,80:15:00,Not drowsy
18,Intervention (Automation),80:15:00,81:15:00,Not drowsy
18,Post-intervention,81:15:00,82:15:00,Not drowsy
18,Post-intervention,82:15:00,83:15:00,Not drowsy
18,Post-intervention,83:15:00,84:15:00,Not drowsy
18,Post-intervention,84:15:00,85:15:00,Not drowsy
18,Post-intervention,85:15:00,86:15:00,Not drowsy
18,Post-intervention,86:15:00,87:15:00,Not drowsy
18,Post-intervention,87:15:00,88:15:00,Slightly drowsy
18,Post-intervention,88:15:00,89:15:00,Slightly drowsy
18,Post-intervention,89:15:00,90:15:00,Slightly drowsy
18,Post-intervention,90:15:00,91:15:00,Slightly drowsy
18,Post-intervention,91:15:00,92:15:00,Slightly drowsy
19,Pre-intervention,53:06:00,54:06:00,Not drowsy
19,Pre-intervention,54:06:00,55:06:00,Slightly drowsy
19,Pre-intervention,55:06:00,56:06:00,Not drowsy
19,Pre-intervention,56:06:00,57:06:00,Slightly drowsy
19,Pre-intervention,57:06:00,58:06:00,Slightly drowsy
19,Pre-intervention,58:06:00,59:06:00,Slightly drowsy
19,Pre-intervention,59:06:00,60:06:00,Slightly drowsy
19,Pre-intervention,60:06:00,61:06:00,Slightly drowsy
19,Pre-intervention,61:06:00,62:06:00,Slightly drowsy
19,Pre-intervention,62:06:00,63:06:00,Not drowsy
19,Pre-intervention,63:06:00,64:06:00,Not drowsy
19,Intervention (Combination),64:06:00,65:06:00,Slightly drowsy
19,Intervention (Combination 2-back),65:06:00,66:06:00,Not drowsy
19,Intervention (Combination 2-back),66:06:00,67:06:00,Not drowsy
19,Intervention (Combination 2-back),67:06:00,68:06:00,Slightly drowsy
19,Intervention (Automation),68:06:00,69:06:00,Slightly drowsy
19,Intervention (Combination 1-back),69:06:00,70:06:00,Not drowsy
19,Intervention (Combination 1-back),70:06:00,71:06:00,Not drowsy
19,Intervention (Combination 1-back),71:06:00,72:06:00,Not drowsy
19,Intervention (Combination 1-back),72:06:00,73:06:00,Not drowsy
19,Intervention (Automation),73:06:00,74:06:00,Not drowsy
19,Post-intervention,74:06:00,75:06:00,Not drowsy
19,Post-intervention,75:06:00,76:06:00,Slightly drowsy
19,Post-intervention,76:06:00,77:06:00,Slightly drowsy
19,Post-intervention,77:06:00,78:06:00,Not drowsy
19,Post-intervention,78:06:00,79:06:00,Not drowsy
19,Post-intervention,79:06:00,80:06:00,Slightly drowsy
19,Post-intervention,80:06:00,81:06:00,Slightly drowsy
19,Post-intervention,81:06:00,82:06:00,Not drowsy
19,Post-intervention,82:06:00,83:06:00,Not drowsy
19,Post-intervention,83:06:00,84:06:00,Slightly drowsy
19,Post-intervention,84:06:00,85:06:00,Not drowsy
20,Pre-intervention,14:13:00,15:13:00,Slightly drowsy
